BandNmbr,GMT.Time,Latitude,Longitude,Duration,DOP,Satellites
123,1/21/2016 6:00,32.123209,-93.4687357,42,2.6,5
123,1/21/2016 7:00,32.1232286,-93.4687379,9,2.4,4
123,1/21/2016 8:00,32.1232769,-93.4688232,9,2.4,4
123,1/21/2016 9:00,32.1226685,-93.4689421,40,49,4
123,1/21/2016 10:00,32.1233724,-93.4688764,17,2.6,4
123,1/21/2016 11:00,32.1232529,-93.4688149,39,1,7
123,1/21/2016 12:00,32.1232551,-93.4688056,39,1,9
123,1/21/2016 13:00,32.1215409,-93.4632672,4,1.6,6
123,1/21/2016 14:00,32.1215839,-93.4631576,6,2.4,6
123,1/21/2016 15:00,32.1215546,-93.4631749,41,1.6,5
123,1/21/2016 16:00,32.121509,-93.4632448,11,1.8,5
123,1/21/2016 17:00,32.1215616,-93.4632765,36,1.2,8
123,1/21/2016 18:01,32.1215057,-93.4632172,70,2,3
123,1/21/2016 19:00,32.1215421,-93.4631704,50,1.8,4
123,1/21/2016 20:00,32.121658,-93.4631124,16,2.4,4
123,1/21/2016 21:00,32.1215638,-93.4631829,36,1.2,7
123,1/21/2016 22:00,32.1215704,-93.4632044,39,2.6,5
123,1/21/2016 23:00,32.1212582,-93.4626406,33,21.8,3
123,1/22/2016 0:00,32.1201913,-93.4641286,37,7.6,4
123,1/22/2016 1:00,32.120436,-93.4644061,38,1.2,6
123,1/22/2016 2:00,32.1203655,-93.4644449,9,1.6,5
123,1/22/2016 3:00,32.1203637,-93.4645032,15,2.8,4
123,1/22/2016 4:00,32.1203446,-93.4645058,40,1,7
123,1/22/2016 5:00,32.1201567,-93.4644894,5,1.8,6
123,1/22/2016 6:00,32.1201957,-93.4644526,9,2.6,5
123,1/22/2016 7:00,32.1202282,-93.4644538,39,0.8,8
123,1/22/2016 8:00,32.1202241,-93.4644372,4,1.4,6
123,1/22/2016 9:00,32.1201383,-93.4645253,5,1.6,5
123,1/22/2016 10:00,32.1204242,-93.4644945,41,1.4,6
123,1/22/2016 11:00,32.120482,-93.4644708,4,1.6,5
123,1/22/2016 12:00,32.1204833,-93.4644388,7,2.4,4
123,1/22/2016 13:00,32.1214459,-93.463289,38,2,4
123,1/22/2016 14:00,32.1212395,-93.4633086,8,2,4
123,1/22/2016 15:00,32.1215539,-93.4637281,36,6,5
123,1/22/2016 16:00,32.1213799,-93.4633377,39,1.8,5
123,1/22/2016 17:00,32.1213136,-93.4632881,8,2.8,5
123,1/22/2016 18:00,32.1214072,-93.4633153,37,1.2,5
123,1/22/2016 19:00,32.1213771,-93.4633396,41,2,3
123,1/22/2016 20:00,32.1214106,-93.4633182,38,1.2,8
123,1/22/2016 21:00,32.1213771,-93.463289,9,1,8
123,1/22/2016 22:00,32.1213837,-93.463256,41,1.2,8
123,1/22/2016 23:00,32.1213742,-93.4631496,9,1,7
123,1/23/2016 0:00,32.1212306,-93.4628903,9,2.6,6
123,1/23/2016 1:00,32.1173962,-93.4719911,39,1.2,6
123,1/23/2016 2:00,32.1173698,-93.4719831,4,4.8,4
123,1/23/2016 3:00,32.1173022,-93.4720459,20,2.6,4
123,1/23/2016 4:00,32.1173344,-93.4720578,41,2.4,6
123,1/23/2016 5:00,32.1173921,-93.4721094,4,1.6,5
123,1/23/2016 6:00,32.1174197,-93.4721853,10,2.6,5
123,1/23/2016 7:00,32.1174025,-93.472184,40,3.4,5
123,1/23/2016 8:00,32.1172398,-93.4721635,22,2.8,6
123,1/23/2016 9:00,32.1172194,-93.472093,4,2.6,5
123,1/23/2016 10:00,32.1172011,-93.4720289,24,1.4,4
123,1/23/2016 11:00,32.1172051,-93.4720911,8,3.4,4
123,1/23/2016 12:00,32.1172383,-93.4721062,4,2.4,4
123,1/23/2016 13:00,32.1213972,-93.4632896,39,2.2,6
123,1/23/2016 14:00,32.1214429,-93.4632845,8,2.8,5
123,1/23/2016 15:00,32.1216202,-93.4636727,15,30.4,4
123,1/23/2016 16:00,32.1214271,-93.4633069,39,1.8,5
